,,
,,
,,
Park,Season,Visitors
Great Smoky Mountains NP,Fall,"30,702"
Great Smoky Mountains NP,Fall,"52,426"
Great Smoky Mountains NP,Fall,"32,732"
Guadalupe Mountains NP,Fall,84
Guadalupe Mountains NP,Fall,57
Guadalupe Mountains NP,Fall,49
Guadalupe Mountains NP,Fall,370
Guadalupe Mountains NP,Fall,688
Guadalupe Mountains NP,Fall,695
Guadalupe Mountains NP,Fall,101
Guadalupe Mountains NP,Fall,626
Guadalupe Mountains NP,Fall,"1,500"
Guadalupe Mountains NP,Fall,"4,512"
Guadalupe Mountains NP,Fall,"6,421"
Guadalupe Mountains NP,Fall,"6,584"
Joshua Tree NP,Fall,"10,226"
Joshua Tree NP,Fall,"15,321"
Joshua Tree NP,Fall,"16,779"
Joshua Tree NP,Fall,"2,912"
Joshua Tree NP,Fall,"4,698"
Joshua Tree NP,Fall,"5,506"
Joshua Tree NP,Fall,"5,772"
Joshua Tree NP,Fall,"5,047"
Joshua Tree NP,Fall,"10,939"
Joshua Tree NP,Fall,288
Joshua Tree NP,Fall,352
Joshua Tree NP,Fall,735
Joshua Tree NP,Fall,"3,183"
Joshua Tree NP,Fall,"6,492"
Joshua Tree NP,Fall,"5,574"
Joshua Tree NP,Fall,"19,105"
Joshua Tree NP,Fall,"29,203"
Joshua Tree NP,Fall,"36,727"
Kenai Fjords NP,Fall,"6,453"
Kenai Fjords NP,Fall,"1,623"
Kenai Fjords NP,Fall,0
Kings Canyon NP,Fall,"29,892"
Kings Canyon NP,Fall,"19,603"
Kings Canyon NP,Fall,"11,416"
Kings Canyon NP,Fall,0
Kings Canyon NP,Fall,"2,087"
Kings Canyon NP,Fall,0
Lassen Volcanic NP,Fall,"1,784"
Lassen Volcanic NP,Fall,"1,366"
Lassen Volcanic NP,Fall,0
Lassen Volcanic NP,Fall,"4,052"
Lassen Volcanic NP,Fall,0
Lassen Volcanic NP,Fall,0
Lassen Volcanic NP,Fall,"1,423"
Lassen Volcanic NP,Fall,605
Lassen Volcanic NP,Fall,0
Lassen Volcanic NP,Fall,"14,113"
Lassen Volcanic NP,Fall,"6,866"
Lassen Volcanic NP,Fall,"1,674"
Lassen Volcanic NP,Fall,"11,332"
Lassen Volcanic NP,Fall,"5,790"
Lassen Volcanic NP,Fall,"1,796"
Lassen Volcanic NP,Fall,"2,722"
Lassen Volcanic NP,Fall,"1,187"
Lassen Volcanic NP,Fall,0
Mount Rainier NP,Fall,"20,000"
Mount Rainier NP,Fall,"10,000"
Mount Rainier NP,Fall,0
Mount Rainier NP,Fall,"4,000"
Mount Rainier NP,Fall,"2,500"
Mount Rainier NP,Fall,700
Mount Rainier NP,Fall,"20,000"
Mount Rainier NP,Fall,"14,600"
Mount Rainier NP,Fall,"8,500"
Mount Rainier NP,Fall,"34,200"
Mount Rainier NP,Fall,"21,800"
Mount Rainier NP,Fall,"11,000"
Mount Rainier NP,Fall,"32,439"
Mount Rainier NP,Fall,"18,169"
Mount Rainier NP,Fall,"7,956"
